Titulo;Autor - Apellido;Autor - Nombre;Genero;Editorial;Coleccion
La prueba del Laberinto;Sanchez Drago;Fernando;Novela;Planeta;Autores Espa�oles e Hispanoamericanos
Como agua para chocolate;Esquivel; Laura;;Debolsillo;
La venta de los gatos;;;;;
La ultima leccion;Pausch; Randy;;Debolsillo;Bestseller
Paradiso;Lezama Lima; Jose;;El Mundo;Las 100 mejores novelas
La pasion turca;Gala; Antonio;;El Mundo;Las 100 mejores novelas
La hija de la fortuna;Allende; Isabel;Novela;Plaza&Janes;
"Mexico en la historia de Octavio Paz:
El peregrino en su patria";Paz; Octavio;;Letras mexicanas;FCE
EN11 - El equipaje del rey Jose;Perez Galdos; Benito;;Alianza;Episodios Nacionales
La primavera en que termino la guerra;Linakis; Steven;;Luis de Caralt;Gigante
Diario de un marine;Sledge; E.B.;;Booket;
Un torneo entre asesinos;Doherty; Paul;;Planeta de Agostini;Novela historica de la Edad Media
Topaz;Uris; Leon;;Circulo de Lectores;
Perry Mason - El caso de la mansion dividida;Gardner; Erle Stanley;;Molino;
;Kolmogorov;A.N.;;;
Los lusiadas;Camoens; Luis de;;Casariego;Biblioteca clasica
Historias del Kronen;Ma�as; Jose angel;;El Mundo;Las 100 mejores novelas
Muerte al zar;Williams; Andrew;;Ediciones B;
Maria Magadalena;;;;;
Lecciones sobre la Estetica;Hegel; Georg W. Friedrich;;Mestas;Biblioteca de Filosofia
La fe salva;;;;;
La rosa verde;Silver; Warren A.;;Planeta de Agostini;Novela historica de la Edad Media
El ateo;Doherty; Paul;;Edhasa;
Endrina y el secreto del peregrino;Lopez Narvaez;Concha;;Planeta&Oxford;Nautilus
El ultimo dia de Adolf Hitler;Solar; David;;Planeta;
La legion perdida;Posteguillo; Santiago;Novela;Booket;Trajano - Libro III
La ni�a de los fosforos;;;;;
Juana de Arco;;;;;
La tia Tula;Unamuno; Miguel de;Novela;El Mundo;Las 100 mejores novelas
Perry Mason - El caso del canario cojo;Gardner; Erle Stanley;;Molino;
Extramuros;Fernandez Santos; Jesus;;El Mundo;Las 100 mejores novelas
Los Pilares de la Tierra;Follett; Ken;;Plaza&Janes;Biblioteca de autor
Fuego y Sangre;Martin;Goerge R.R.;Novela juvenil;Plaza & Janes;
Jarrapellejos;Trigo; Felipe;;El Mundo;Las 100 mejores novelas
La venganza de Nofret;Christie; Agatha;;Molino;
"En busca del tiempo perdido
5. La prisionera";Proust; Marcel;;Alianza;
El manuscrito carmesi;Gala; Antonio;;Planeta;Autores Espa�oles e Hispanoamericanos
Mision olvido;Due�as; Maria;;Booket;
La tabla de Flandes;Perez-Reverte; Arturo;Novela;El Mundo;Las 100 mejores novelas
La llave del Destino;Cooper; Glenn;;Debolsillo;
Erasmo (15);Castillo Urbano; Francisco;Filosofia;RBA;Comprender la Filosofia
Eclipse;Meyer; Stephenie;Novela Juvenil;Alfaguara;
Critica de la razon pura;Kant;Immanuel;Filosofia;Gredos;
Las muertes de Lopillo;Alvarez Quintero; Serafin y Joaquin;;N/A;
Aquitania;Garcia Saenz de Urturi;Eva;Novela;Booket;
Cuando voy a morir;Fernandez de la Reguera; Ricardo;;Circulo de Lectores;
La historia de Marta y Fernando;Martin Garzo; Gustavo;;El Mundo;Las 100 mejores novelas
Dias contados;Madrid; Juan;;El Mundo;Las 100 mejores novelas
Discurso del metodo;Descartes; Rene;;Alianza;
Maradona, la mano de Dios;Burns; Jimmy;;ABC;Biografias Vivas
El traje negro;;;;;
Bajo el sol de Kenia;Wood; Barbara;;Grijalbo;
El escarabajo de oro;;;;;
Sinuhe, el egipcio;Waltari; Mika;;Circulo de Lectores;
Todo bajo el cielo;Asensi; Matilde;;Booket;
El circulo Octogonus;Harris; Peter;;Debolsillo;Bestseller
El Miserere;;;;;
El entierro prematuro;;;;;
La Bestia;Mola;Carmen;Novela;Booket;
Perry Mason - El caso del gatito imprudente;Gardner; Erle Stanley;;Molino;
Ernestina o el nacimiento del amor;Stendhal;;;Alianza;Alianza Cien
Las calles de Madrid;Repide; Pedro de;;Afrodisio Aguado, S.A.;
El Se�or Cenicienta;Stout; Rex;;Circulo de Lectores;
Amoris Laetitia;Papa Francisco;;;BAC;Documentos
El juego de la logica;Carroll;Lewis;;Alianza;
La cita;;;;;
Autobiografia de Federico Sanchez;Semprun; Jorge;;Planeta;Autores Espa�oles e Hispanoamericanos
Niebla;Unamuno; Miguel de;;El Mundo;Las 100 mejores novelas
El gato con botas;;;;;
El hombre de negocios;;;;;
�Hay alguien ahi? Luces y sombras de la sobredotacion;Rodriguez de la Torre; Marta Eugenia;;Meridiano;
El valle de los leones;Follett; Ken;;Plaza&Janes;Jet
La madre;Buck; Pearl S.;;Circulo de Lectores;
De Parte de la Princesa Muerta;Mourad; Kenize;;Tusquets Editores;Fabula
El hombre que no fue amado;Fallada; Hans;;Aguilar;
El guardian entre el centeno;Salinger; J.D.;;Alianza;
Perry Mason - El caso del crimen diferido;Gardner; Erle Stanley;;Molino;
Los Asesinos del Emperador;Posteguillo; Santiago;Novela;Booket;Trajano - Libro I
El leon, la bruja y el armario;Lewis;Clive S.;Novela juvenil;Destino;Las cronicas de Narnia 2
Carlomagno;Lamb; Harold;;Planeta de Agostini;Novela historica de la Edad Media
La Plaga;Benson; Ann;;Debolsillo;Jet
No anteponer nada a Cristo;Caffara; Carlo - Cardenal;Religion;Homo Legens;
Los cuatro jinetes del Apocalipsis - Volumen II;Blasco Iba�ez; Vicente;;El Mundo;Las 100 mejores novelas
Con los ojos;Alvarez Quintero; Serafin y Joaquin;;N/A;
El hombre de la reina;Penman; Sharon Kay;;Planeta de Agostini;Novela historica de la Edad Media
Prosas;;;;;
Una malaventura. Continuacion del relato precedente;;;;;
La cruz amarilla;Weis; Rene;;Debate;Peque�a gran historia
Anima Mundi;Tamaro; Susanna;;Seix Barral;Breve
La huella de Dios;Meesch;Maxence van der;;;
Rinconete y Cortadillo;;;;;
Don Camilo;Guareschi; Giovanni;;Planeta;Coleccion Popular
El coloquio de Monos y Una;;;;;
Garito de hospicianos;Cela; Camilo Jose;;Noguer;Libros de bolsillo
Amor y Pedagogia;Unamuno;Miguel de;;Editorial Libra;Purpura
Argumentos de vida Cristiana - Cuaderno para la familia;;;;ESC;
El acoso;Carpentier; Alejo;;Losada;
El camino;Delibes; Miguel;;Destino;Destinolibro
El placer de adelgazar;Taure Alonso; T.;Divulgacion;Paidotribo;
La herencia del Santo Grial;Gardner; Laurence;;Grijalbo;Mitos bolsillo
La picara vida;Alvarez Quintero; Serafin y Joaquin;;N/A;
Santa Catalina de Siena;;;;;
Los helechos arborescentes;Umbral; Francisco;;El Mundo;Las 100 mejores novelas
La princesa Isabel;;;;;
La Alhambra y Granada de cerca;;;Guia;Edilux;
La guardia nocturna;;;;;
El licenciado Vidriera;Cervantes Saavedra; Miguel de;;Salvat;Biblioteca basica
Sonata de Oto�o;;;;;
Busco plaza de aprendiz;Noack; Hans-Georg;;Alfaguara;
Un descenso al Maelstr�m;;;;;
Cuentos de Eva Luna;Allende;Isabel;Cuento;RBA;
Perry Mason - El caso del cupido descuidado;Gardner; Erle Stanley;;Molino;
El siglo de las luces;Carpentier; Alejo;;El Mundo;Las 100 mejores novelas
EL milagro de San Antonio;;;;;
El Cristo de la calavera;;;;;
El misterio de los perfectos;Muller; Titus;;Via Magna;
Quattrocento;Mckean; James;;Punto de lectura;
Robinson Crusoe;Defoe; Daniel;;Salvat;Biblioteca basica
El Club Dumas;Perez-Reverte; Arturo;Novela ;Alfaguara;Bolsillo
Callos a la Madrile�a;Figuero; Javier;;Los Libros del Tren;Relatos
El amo de la jaula;;;;;
Piel de asno;;;;;
Joyzelle;;;;;
Vida de Mozart;Lleonart; Jose;;Seix Barral;
Cuerpos y Almas;Van der Meersch; Maxence;;Circulo de Lectores;
San Camilo 1936;Cela; Camilo Jose;;El Mundo;Las 100 mejores novelas
La guerra de los botones;Pergaud; Louis;;Anaya;Tus libros
La Dama Azul;Sierra; Javier;;Booket;
"Luz del Mundo:
1. El palacio de la tierra estival
2. La casa del poeta
3. La belleza del cielo";Laxness; Halldor K.;;Aguilar;Premios Nobel
Harem;Falconer; Colin;;Emece;
Menon;;;;;
Las Luces de Septiembre;Ruiz Zafon; Carlos;;Booket;
Por que el peque�o frances lleva la mano en cabestrillo;;;;;
Carta duodecima;Carpentier; Alejo;;;
El Padre Elias, un apocalipsis;O'Brien; Michael D.;;Libros libres;
Cuchifritin y paquito;Fortun; Elena;;Aguilar;
Esa dama;O'Brien; Kate;Novela;Edhasa;Pocket
La intrusa;;;;;
Las buenas intenciones;Aub; Max;;El Mundo;Las 100 mejores novelas
El Ingenioso hidalgo Don Quijote de la Mancha;Cervantes Saavedra; Miguel de;;Circulo de lectores;
Bon-Bon;;;;;
Las vidas de Miguel de Cervantes;Trapiello; Andres;Biografia;ABC;Protagonistas de la historia
Historia como sistema y otros ensayos de filosofia;Ortega y Gasset; Jose;;Alianza editorial;Revista de occidente
Un traidor en la cancilleria;Doherty; Paul;;Planeta de Agostini;Novela historica de la Edad Media
La cara norte del corazon;Redondo;Dolores;Novela;Booket;
"Danza de Dragones I
Cancion de Hielo y Fuego 5";Martin; George R.R.;Novela juvenil;Gigamesh;Ficcion
Y las monta�as hablaron;Hosseini; Khaled;;Salamandra;
El juego del angel;Ruiz Zafon; Carlos;;Booket;
Yo soy fulana de tal;Laiglesia; Alvaro de;;Circulo de Lectores;
"Los Gozos y las sombras
1. El se�or llega";Torrente Ballester; Gonzalo;;Alianza;
Venganza en Sevilla;Asensi; Matilde;;Planeta;
;Bozellec;Anne;;;
Vivir en lo relativo;Barbera;Carlos F.;Ensayo;Narcea;
Las guardianas del Tabu;Lorenzo; Javier;;Booket;
Las dos doncellas;;;;;
Queda la noche;Puertolas; Soledad;;El Mundo;Las 100 mejores novelas
Tres sombreros de copa;Mihura; Miguel;;Espasa Calpe;Austral
El ni�o con el pijama de rayas;Boyne; John;;Salamandra;Letras de bolsillo
Trece Runas;Peinkofer; Michael;;Debolsillo;Bestseller
Etica para Amador;Savater; Fernando;;Ariel;Aula
Los gritos del pasado;L�ckberg; Camilla;;EMBolsillo;
El conde Bohemundo;Duggan; Alfred;;Planeta de Agostini;Novela historica de la Edad Media
Julio Cesar: La grandeza del heroe;Oppermann; Hans;Biografia;ABC;Protagonistas de la historia
Belver Yin;Ferrero; Jesus;;El Mundo;Las 100 mejores novelas
Los Thibault - 4;Martin du Gard; Roger;;Alianza;
La maquina de ajedrez;L�hr; Robert;;Debolsillo;Bestseller
Cronicas de la Biblia Negra;Revuelto Perez; Alejandro;;Eride;
Todos los detectives se llaman Flanagan;Martin; Andreu;;Circulo de Lectores;Onda joven
La mision del embajador;Canavan; Trudi;Novela;Debolsillo;La Espia Traidora I
"Maestros Rusos VIII:
La derrota";Fadeiev; Alexandr;;Planeta;Maestros Rusos
"Tormenta de espadas I
Cancion de Hielo y Fuego 3";Martin; George R.R.;Novela juvenil;Gigamesh;Ficcion
Revelacion mesmetica;;;;;
El guardian entre el centeno;Salinger; J.D.;;Alianza;Literatura
La guerra de los seis dias;Oren; Michael B.;;RBA;
Los Complementarios;Machado; Antonio;;Catedra;Letras Hispanicas
El retrato oval;;;;;
La saga / Fuga de J.B. -- Volumen II;Torrente Ballester; Gonzalo;;El Mundo;Las 100 mejores novelas
"En busca del tiempo perdido
4. Sodoma y Gomorra";Proust; Marcel;;Alianza;
El gigante egoista;Wilde; Oscar;Cuento;Espasa Calpe;Austral
La Catedral del mar;Falcones; Ildefonso;;Grijalbo;
El inquisidor;Sturlese; Patricio;;Debolsillo;Bestseller
Cleopatra;Essex; Karen;;Booket;
El manuscrito carmesi - Volumen I;Gala; Antonio;;El Mundo;Las 100 mejores novelas
La huella de Dios;Van der Meersch; Maxence;;Circulo de Lectores;
El porquerizo;Andersen; Hans Christian;;Alianza;Alianza Cien
Conversacion en La Catedral - Volumen II;Vargas Llosa; Mario;;El Mundo;Las 100 mejores novelas
El famoso cohete;Wilde; Oscar;Cuento;Espasa Calpe;Austral
"Cuentos:
Medium";Baroja; Pio;;Alianza;
Los Italianos;Barzini;Luigi;;Grijalbo;
Sakura;Asensi; Matilde;Novela;La esfera de los libros;
Perry Mason - El caso del socio silencioso;Gardner; Erle Stanley;;Molino;
El papa Borgia;Deus;J.C.;;Aguilar;
Los 36 hombres justos;Bourne; Sam;;Grijalbo;
El alma de la Legion de Maria;Casta�on; Delfin;;Edibesa;
La caida de la casa Usher;;;;;
Los cipreses creen en Dios;Gironella; Jose Maria;;Circulo de Lectores;
Juegos de la edad tardia;Landero; Luis;;El Mundo;Las 100 mejores novelas
Cuento de Jerusalen;;;;;
El gato negro;;;;;
La piel de castor;;;;;
La sonrisa etrusca;Sampedro; Jose Luis;;El Mundo;Las 100 mejores novelas
El dia que murio Marilyn;Moix; Terenci;;El Mundo;Las 100 mejores novelas
Marianela;Perez Galdos; Benito;;Catedra;
Si te dicen que cai;Marse;Juan;;Bruguera;Literatura Universal Bruguera
El puente de Alcantara II;Baer; Frank;;Planeta de Agostini;Novela historica de la Edad Media
�Y ahora, que?;;;;;
EN04 - Bailen;Perez Galdos; Benito;;Alianza;Episodios Nacionales
Por Don Carlos;;;;;
Memoria de mis putas tristes;Garcia Marquez; Gabriel;;Vintage Espa�ol;
La filosofia hoy;Sciacca; Michele Federico;;Luis Miracle;
Marx (22);Aragues;Juan Manuel;Filosofia;RBA;Comprender la Filosofia
El misterio del tren azul;Christie; Agatha;;Molino;Poirot
Los Sue�os;Quevedo; Francisco de;;Espasa Calpe;Clasicos castellanos
La tregua;Benedetti; Mario;;El Mundo;Las 100 mejores novelas
"Los Gozos y las sombras
2. Donde da la vuelta el aire";Torrente Ballester; Gonzalo;;Alianza;
Rinconete y Cortadillo;Alvarez Quintero; Serafin y Joaquin;;N/A;
"1808: El dos de Mayo, 3 miradas:
El Siglo de las Luces";Blanco White;Jose Maria;;Fundacion Dos de Mayo;
San Manuel Bueno, martir;Unamuno; Miguel de;Novela;El Mundo;Las 100 mejores novelas
Angelus;;;;;
El obispo y su santo;Berling; Peter;;Debolsillo;Bestseller
Dune;Herbert;Frank;Novela juvenil;DeBolsillo;
El dia en que murio Guernica;Thomas; Gordon;;Circulo de Lectores;
Madrid;Trapiello;Andres;Novela;Destino;
Y al tercer a�o, Resucito;Vizcaino Casas; Fernando;;Planeta;Fabula
La sombra;;;;;
Poemas de amor;Hernandez; Miguel;;Alianza;
Aeropuerto;Hailey; Arthur;;Circulo de Lectores;
La doctora Cole;Gordon; Noah;;Rocabolsillo;
La Ciudadela;Cronin;A. J.;;Epoca;
Peregrinatio;Asensi; Matilde;;Booket;
La lucha contra el dolor;Killian; Hans;Ensayo;Planeta;
Los grandes hombre o el monumento a Cervantes;Alvarez Quintero; Serafin y Joaquin;;N/A;
La carta robada;;;;;
El significado de la relatividad;Einstein; Albert;;Espasa Calpe;Austral
El ciculo magico;Neville; Katherine;;Byblos;
Ana Karenina;Tolstoi; Leon;;J. Perez del Hoyo;
El paraiso del hombre;;;;;
La promesa;Buck; Pearl S.;;Ediciones G.P.;Reno
Perry Mason - El caso de la golondrina chillona;Gardner; Erle Stanley;;Molino;
La princesa de hielo;L�ckberg; Camilla;;EMBolsillo;
Los crimenes de la calle Morgue;;;;;
Mi idolatrado hijo Sisi;Delibes; Miguel;;Destino;
Quo Vadis;Sienkiewicz; Henryk;;Circulo de Lectores;
EN05 - Napoleon en Chamartin;Perez Galdos; Benito;;Alianza;Episodios Nacionales
La regenta;Clarin; Leopoldo Alas;;Alianza;
El gremio de los Magos;Canavan; Trudi;Novela;Debolsillo;Cronicas del Mago Negro I
De lo sublime y de lo bello;Burke; Edmund;Filosofia;Alianza editorial;
El casamiento enga�oso;;;;;
Historia de un Canalla;Navarro; Julia;Novela;Plaza&Janes;
Aristoteles (4);Ponsati-Murla; Oriol;Filosofia;RBA;Comprender la Filosofia
EN10 - La batalla de Arapiles;Perez Galdos; Benito;;Alianza;Episodios Nacionales
El Laberinto de los Espiritus;Ruiz Zafon; Carlos;;Planeta;
Perry Mason - El caso de la simpatica impostora;Gardner; Erle Stanley;;Molino;
Las mascaras del heroe - Volumen I;Prada; Juan Manuel de;;El Mundo;Las 100 mejores novelas
Oh, Jerusalen;Collins;Larry;;Plaza&Janes;
La serpiente sutil;Tremayne; Peter;;Edhasa;
Chaman;Gordon; Noah;;Rocabolsillo;
Chopin;Liszt; Franz;;Espasa Calpe;Austral
Rosa;Rabb; Jonathan;;Ediciones B;La Trama
Requiem a cinco voces;Martin Vigil ; Jose Luis;;Richard Grandio;
El caballero de las dos banderas;Lamet; Pedro Miguel;;Martinez Roca;
El enigma Vivaldi;Harris; Peter;;Debolsillo;
Catalina, la fugitiva de San Benito;Llorens; Chufo;;Debolsillo;
Cinco horas con Mario;Delibes; Miguel;;Destino;Clasicos Contmporaneos Comentados
No es elegante matar a una mujer descalza;Pozo; Raul del;;El mundo;
Fernando e Isabel;Kesten; Hermann;;Planeta de Agostini;Novela historica de la Edad Media
Perry Mason - El caso del tutor en apuros;Gardner; Erle Stanley;;Molino;
El diablo propone un brindis y otros ensayos;Lewis;Clive S.;;Rialp;
Cien a�os de soledad;Garcia Marquez; Gabriel;;Circulo de Lectores;
Juan Pablo II, pregonero de la verdad (Vol. I);Ferrer; Eusebio;;ABC;Biografias Vivas
Anita, la risue�a;Alvarez Quintero; Serafin y Joaquin;;N/A;
La vida eterna;Savater; Fernando;;Ariel;
El ultimo querusco;Balder; Artur;;Books4pocket;
Mellons Tants;;;;;
La Odisea;;;;;
A la distancia del brazo;;;;;
Acompa�ar, discernir, integrar;Granados;Jose;Religion;Monte Carmelo;didaskalos
El nombre del viento;Rothfuss; Patrick;Novela;Debolsillo;
Agueda;;;;;
Poemas en prosa;Wilde; Oscar;Cuento;Espasa Calpe;Austral
Palido criminal;Kerr; Philip;;RBA;Serie negra
Perry Mason - El caso de la heredera solitaria;Gardner; Erle Stanley;;Molino;
Bartek, el triunfador;;;;;
Laberintos mortales;;;;;
Retahilas;Martin Gaite; Carmen;;El Mundo;Las 100 mejores novelas
El invierno del mundo;Follet; Ken;;Debolsillo;
La eneida;Virgilio;;;Espasa Calpe;Austral
En la corte del lobo;Mantel; Hilary;;Destino;
Los caballos de Dios;Mahi Binebine;;;Alfaguara;
Las mascaras del heroe - Volumen II;Prada; Juan Manuel de;;El Mundo;Las 100 mejores novelas
"Ross Poldark
Demelza";Graham; Winston;;Javier Vergara;
El origen perdido;Asensi; Matilde;;booket;
Los nuevos Aristocratas;Saint Pierre; Michael de;;Circulo de Lectores;
"Memorias de Idhun
I - La Resistencia";Gallego Garcia;Laura;Novela juvenil;SM;
Genraciones y semblanzas;;;;;
Mozart;Steptoe; Andrew;;Acento;Guias Musicales
La torre vigia;Matute; Ana Maria;;El Mundo;Las 100 mejores novelas
Juan Carlos, el rey de un pueblo (Vol. I);Preston; Paul;;ABC;Biografias Vivas
Asesinato en el Orient Express;Christie; Agatha;Novela;Molino;Biblioteca de oro
Elementos de Geometria descriptiva;Taibo; angel;Texto universitario;N/A;
Pitos y palmas;Alvarez Quintero; Serafin y Joaquin;;N/A;
La promesa;;;;;
Obras satiricas y festivas;Quevedo; Francisco de;;Espasa Calpe;Clasicos castellanos
Marco polo;Heers; Jacques;Biografia;ABC;Protagonistas de la historia
Madridgrado;Camba; Francisco;;Ediciones Espa�olas;
El hereje;Delibes;Miguel;Novela;Destino;
Cartas Filosoficas;Voltaire;;;Editora Nacional;Biblioteca de la Literatura y Pensamiento Universales
Una teoria de la felicidad;Rojas; Enrique;Psicologia;Dossat 2000;
Gustavo, el ferreo;;;;;
Mari Belcha;;;;;
Mar de fuego;Llorens; Chufo;;Debolsillo;
Perry Mason - El caso de la enfermera fugitiva;Gardner; Erle Stanley;;Molino;
Breve historia de la quimica;Asimov; Isaac;;Alianza;
Vivir en Madrid;Carandell; Luis;;Circulo de Lectores;
Spinoza (24);Espinosa Rubio;Luciano;Filosofia;RBA;Comprender la Filosofia
Nada;Laforet; Carmen;;Booket;
El prisionero del Cielo;Ruiz Zafon; Carlos;;Planeta;AE&I
Perry Mason - El caso del testigo airado;Gardner; Erle Stanley;;Molino;
El enigma de Fermat;Singh; Simon;;Booket;
Lo que esconde tu nombre;Sanchez; Clara;;Booket;
El japon de Hoy, 1985;;;;N/A;
Cratilo;;;;;
Elogio de la vida imperfecta;Scquizzato; Paolo;Religion;Paulinas;
El sello del Algebrista;Maeso de La Torre; Jesus;;Debolsillo;Bestseller
La proporcion trascendental;Lehmann;Ingmar;;Ariel;
Protagoras;Platon;;Filosofia;Gredos;
�Quien es un cristiano?;Baltasar;Hans Urs Von;;Guadarrama;
El ruise�or y la rosa;Wilde; Oscar;Cuento;Espasa Calpe;Austral
La boda del se�or cura;Vizcaino Casas; Fernando;;Albia Nova;
Cronica de una muerte anunciada;Garcia Marquez; Gabriel;;El Mundo;Las 100 mejores novelas
La posada de las dos brujas y otros relatos;Conrad; Joseph;;Alianza editorial;
;Laurentiev;M.A.;;;
La Gloria no tiene Piedad;Kr�mer; Gerd;;Luis de Caralt;Gigante
Un oceano para llegar a ti;Barneda;Sandra;Novela;Booket;
Platero y yo;Jimenez; Juan Ramon;;Espasa Calpe;
El Conde Lucanor;Juan Manuel;Infante;;Castalia;Odres nuevos
Los quemados;Oldenbourg; Zoe;;Planeta de Agostini;Novela historica de la Edad Media
Odas barbaras;Carducci; Giosue;;Aguilar;Premios Nobel
Don Quijote de la Mancha;Cervantes Saavedra; Miguel de;;J. Perez de Hoyo;
Perry Mason - El caso del perro aullador;Gardner; Erle Stanley;;Molino;
El alce;;;;;
Sherlock Holmes - El valle del Terror;Conan Doyle; Arthur;;Molino;
En busca del unicornio;Eslava Galan; Juan;;El Mundo;Las 100 mejores novelas
Perry Mason - El caso de la viuda peligrosa;Gardner; Erle Stanley;;Molino;
Perry Mason - El caso de los herederos asustados;Gardner; Erle Stanley;;Molino;
El licenciado Vidriera;;;;;
Don Alvaro o la fuerza del sino;Duque de Rivas;;;Castalia;Castalia didactica
La isla del hada;;;;;
agata, ojo de gato;Caballero Bonald; Jose Manuel;;El Mundo;Las 100 mejores novelas
Boquitas pintadas;Puig; Manuel;;El Mundo;Las 100 mejores novelas
Peque�o teatro;Matute; Ana Maria;;El Mundo;Las 100 mejores novelas
Bentham (52);Escamillla Castillo;Manuel;Filosofia;RBA;Comprender la Filosofia
El salon de ambar;Asensi; Matilde;;Booket;
"Obras Selectas:
Las aventuras de Tom Sawyer";Twain; Mark;;Edimat;
Sentido y sensibilidad;Austen; Jane;;Plaza&Janes;Jet
Requiem aleman;Kerr; Philip;;RBA;Serie negra
Los duendes de Sevilla;;;;;
Icaria, Icaria, �;Benguerel;Xavier;Novela;Planeta;
Fish!;Lundin; Stephen C. y Paul;;Empresa activa;
El horror de Dunwich;Lovecraft; H.P.;;Alianza;Alianza Cien
Los intereses creados;;;Se�ora ama;;
Peleas y Melisanda;;;;;
Laques;Platon;;Filosofia;Gredos;
El druida del Cesar;Cueni; Claude;;Punto de lectura;
La ajorca de oro;;;;;
La dignidad humana;Unamuno; Miguel de;;Espasa Calpe;Austral
Marichu;;;;;
Los Ritos del Agua;Garcia Saenz de Urturi; Eva;Novela;Planeta;Trilogia de la Ciudad Blanca 2
Mi familia y otros animales;Durrell; Gerald;;Alianza;Trilogia de Corfu - 1
Otelo;;;;;
Los paladines de Carlos XII;;;;;
El jugador;Dostoiewski; Fedor;;Salvat;Biblioteca basica
Alamut;Bartol; Vladimir;;Planeta de Agostini;Novela historica de la Edad Media
La familia de Pascual Duarte;Cela; Camilo Jose;;El Mundo;Las 100 mejores novelas
La venganza templaria;Jecks; Michael;;booket;
;Kolmogorov;A.N.;;;
La Sombra del Viento;Ruiz Zafon; Carlos;;Booket;
Principe y mendigo;;;;;
Las Lenguas de Espa�a;Diez;Miguel;;Ministerio de Educacion;Brevarios de Educacion
La creacion;;;;;
La de Bringas;Perez Galdos; Benito;;Alianza;
El bosque susurra;;;;;
El padre Setubal;;;;;
Hop-Frog;;;;;
Antologia;Guillen;Jorge;Poesia;Plaza&Janes;
Nietzsche (2);Hernandez Arias; Jose Rafael;Filosofia;RBA;Comprender la Filosofia
La negacion de la muerte;Becker; Ernest;;Kairos;
Sor Beatriz;;;;;
Paisajes del alma;Unamuno; Miguel de;;Alianza editorial;Biblioteca de autor
Los secretos del numero Pi;Navarro;Joaquin;Divulgacion;RBA;El mundo es matematico
La mirada inmovil;Sender;Ramon J.;;Argos-Vergara;
La voluntad;Azorin;;;El Mundo;Las 100 mejores novelas
Raices;Haley; Alex;;Ultramar;
Meditaciones;Tagore; Rabindranath;;Escelicer;
Los Thibault - 6;Martin du Gard; Roger;;Alianza;
El peligro rosa;Alvarez Quintero; Serafin y Joaquin;;N/A;
Torquemada en la cruz;;;;;
Criton;Platon;;Filosofia;Gredos;
Apocrifos espa�oles;Gallego; Julian;;Plaza&Janes;Prosistas de Lengua Espa�ola
En la ardiente oscuridad;Buero Vallejo; Antonio;;Salvat;Austral
Diderot (45);Ratto;Adrian;Filosofia;RBA;Comprender la Filosofia
Maese Perez, el organista;;;;;
La muralla china;;;;;
"El Se�or de los Anillos
III. El Retorno del Rey";Tolkien; J.R.R.;Novela juvenil;Minotauro;
La nena;Mola;Carmen;Novela;DeBolsillo;
Nuestra Se�ora de Paris II;Hugo;Victor;Novela;Antalbe;
El carbonero;;;;;
La forja de un rebelde II - La ruta;Barea; Arturo;;El Mundo;Las 100 mejores novelas
El druida celtibero;Merino; Ignacio;;La esfera de los libros;
Los Invitados;Grosso;Alfonso;;Circulo de Lectores;
"Sor Juana Ines de la Cruz o
Las trampas de la fe";Paz; Octavio;;Seix Barral;Biblioteca Breve
"La Campana de Islandia:
1. La doncella de la luz
2. Fuego en Copenhague";;;;;
Romancero viejo (Antologia);Anonimo;;;Castalia;Castalia didactica
La forja de un rebelde I - La llama;Barea; Arturo;;El Mundo;Las 100 mejores novelas
La zapatera prodigiosa;Garcia Lorca; Federico;;Alianza;Biblioteca de autor
"En busca del tiempo perdido
2. A la sombra de las muchachas en flor";Proust; Marcel;;Alianza;
La Historia interminable;Ende;Michael;Novela juvenil;Alfaguara;Clasicos
La beltraneja;Arteaga; Almudena de;;La esfera de los libros;Historia
Allegro final;;;;;
La oscura historia de la prima Montse;Marse; Juan;;El Mundo;Las 100 mejores novelas
Fabulas;;;;;
La buena tierra;Buck;Pearl S.;;Epoca;
Un tal Francisco;;;;;
Tres domingos por semana;;;;;
Pajaro en una tormenta;Montero; Isaac;;El Mundo;Las 100 mejores novelas
"El angel de la noche
2. Al filo de las sombras";Weeks; Brent;;Plaza&Janes;
Octubre, octubre - Volumen II;Sampedro; Jose Luis;;El Mundo;Las 100 mejores novelas
Habermas (39);Lopez de Lizaga;Jose Luis;Filosofia;RBA;Comprender la Filosofia
El Padrino;Puzo; Mario;;Circulo de Lectores;
"Antonio Machado:
Poesia y Prosa. Biografia";Cano;Jose Luis;;Bruguera;Libro amigo
Peirce (47);Vila Vernis;Ramon;Filosofia;RBA;Comprender la Filosofia
Sin noticias de Gurb;Mendoza; Eduardo;;Seix Barral;
La sima;;;;;
El licenciado Vidriera;;;;;
�Por que soy todavia cristiano?;Balthasar;Hans Urs von;Religion;Sigueme;
Las Mil y una Noches;Anonimo;;;J. Perez del Hoyo;
La Aprendiz;Canavan; Trudi;Novela;Debolsillo;Cronicas del Mago Negro II
El hombre de San Petersburgo;Follett; Ken;;Debolsillo;Bestseller
Manuscrito hallado en una botella;;;;;
Claros del bosque;Zambrano; Maria;Pensamiento;Biblioteca de bolsillo;
Los cipreses de Cordoba;Guiladi; Yael;;Planeta de Agostini;Novela historica de la Edad Media
La Casa de los siete Balcones;;;;;
